date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:17:28	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6556969b-33504a5de593b61a;gz%22	https://demo-themewinter.com/robots.txt		(from )
06:17:31	253944/253944	---MCZ	200	added ('OK')	text/html	etag:%2286333-1739336458;gz%22	https://demo-themewinter.com/gloreya/	C:/Users/mo7a/Desktop/machroo3/templates/restaurantV3/demo-themewinter.com/gloreya/index.html	(from )
06:17:32	114706/114706	---M-Z	200	added ('OK')	text/css	etag:%221c012-67342ed2-b5b48f129e1923fc;gz%22	https://demo-themewinter.com/gloreya/wp-includes/css/dist/block-library/style.min.css?ver=6.7.2	C:/Users/mo7a/Desktop/machroo3/templates/restaurantV3/demo-themewinter.com/gloreya/wp-includes/css/dist/block-library/style.mind1c0.css	(from https://demo-themewinter.com/gloreya/)
06:17:32	11018/11018	---MCZ	200	added ('OK')	application/rss+xml	etag:%2234fb855cb665d6bb0943920743f68e64%22	https://demo-themewinter.com/gloreya/feed/	C:/Users/mo7a/Desktop/machroo3/templates/restaurantV3/demo-themewinter.com/gloreya/feed/index.html	(from https://demo-themewinter.com/gloreya/)
06:17:33	6730/6730	---MCZ	200	added ('OK')	application/rss+xml	etag:%2234fb855cb665d6bb0943920743f68e64%22	https://demo-themewinter.com/gloreya/comments/feed/	C:/Users/mo7a/Desktop/machroo3/templates/restaurantV3/demo-themewinter.com/gloreya/comments/feed/index.html	(from https://demo-themewinter.com/gloreya/)
06:17:33	2894/2894	---M-Z	200	added ('OK')	text/css	etag:%22b4e-679098d2-a68af3bd04029b64;gz%22	https://demo-themewinter.com/gloreya/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.0.3	C:/Users/mo7a/Desktop/machroo3/templates/restaurantV3/demo-themewinter.com/gloreya/wp-content/plugins/contact-form-7/includes/css/styles1eb7.css	(from https://demo-themewinter.com/gloreya/)
06:17:33	17690/17690	---M-Z	200	added ('OK')	text/css	etag:%22451a-67a42b3a-23954727fb37e16d;gz%22	https://demo-themewinter.com/gloreya/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=9.6.1	C:/Users/mo7a/Desktop/machroo3/templates/restaurantV3/demo-themewinter.com/gloreya/wp-content/plugins/woocommerce/assets/css/woocommerce-layoutab9f.css	(from https://demo-themewinter.com/gloreya/)
06:17:34	7429/7429	---M-Z	200	added ('OK')	text/css	etag:%221d05-67a42b3a-480082afad1121fa;gz%22	https://demo-themewinter.com/gloreya/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=9.6.1	C:/Users/mo7a/Desktop/machroo3/templates/restaurantV3/demo-themewinter.com/gloreya/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreenab9f.css	(from https://demo-themewinter.com/gloreya/)
06:17:34	82858/82858	---M-Z	200	added ('OK')	text/css	etag:%22143aa-67a42b3a-4d3eb141ce6f6d17;gz%22	https://demo-themewinter.com/gloreya/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=9.6.1	C:/Users/mo7a/Desktop/machroo3/templates/restaurantV3/demo-themewinter.com/gloreya/wp-content/plugins/woocommerce/assets/css/woocommerceab9f.css	(from https://demo-themewinter.com/gloreya/)
06:17:35	2279/2279	---M-Z	200	added ('OK')	text/css	etag:%228e7-67a42b3a-d8fafc8a574ac463;gz%22	https://demo-themewinter.com/gloreya/wp-content/plugins/woocommerce/assets/css/brands.css?ver=9.6.1	C:/Users/mo7a/Desktop/machroo3/templates/restaurantV3/demo-themewinter.com/gloreya/wp-content/plugins/woocommerce/assets/css/brandsab9f.css	(from https://demo-themewinter.com/gloreya/)
06:17:35	4719/4719	---M-Z	200	added ('OK')	text/css	etag:%22126f-679098e0-9d466aaefcc86af0;gz%22	https://demo-themewinter.com/gloreya/wp-content/plugins/metform/public/assets/lib/cute-alert/style.css?ver=3.9.3	C:/Users/mo7a/Desktop/machroo3/templates/restaurantV3/demo-themewinter.com/gloreya/wp-content/plugins/metform/public/assets/lib/cute-alert/style657a.css	(from https://demo-themewinter.com/gloreya/)
06:17:37	22474/22474	---M-Z	200	added ('OK')	text/css	etag:%2257ca-679098e0-d198f546130ca12;gz%22	https://demo-themewinter.com/gloreya/wp-content/plugins/metform/public/assets/css/text-editor.css?ver=3.9.3	C:/Users/mo7a/Desktop/machroo3/templates/restaurantV3/demo-themewinter.com/gloreya/wp-content/plugins/metform/public/assets/css/text-editor657a.css	(from https://demo-themewinter.com/gloreya/)
06:17:37	25507/25507	---M-Z	200	added ('OK')	text/css	etag:%2263a3-673d5d77-fd37ca82a3c6f80a;gz%22	https://demo-themewinter.com/gloreya/wp-content/plugins/wp-ultimate-review/assets/public/css/content-page.css?ver=2.3.5	C:/Users/mo7a/Desktop/machroo3/templates/restaurantV3/demo-themewinter.com/gloreya/wp-content/plugins/wp-ultimate-review/assets/public/css/content-page25b6.css	(from https://demo-themewinter.com/gloreya/)
06:17:37	15954/15954	---M-Z	200	added ('OK')	text/css	etag:%223e52-6759257c-812b1a910bb729b8;gz%22	https://demo-themewinter.com/gloreya/wp-content/plugins/wp-cafe/assets/css/flatpickr.min.css?ver=2.2.31	C:/Users/mo7a/Desktop/machroo3/templates/restaurantV3/demo-themewinter.com/gloreya/wp-content/plugins/wp-cafe/assets/css/flatpickr.mind4e0.css	(from https://demo-themewinter.com/gloreya/)
06:17:38	59016/59016	---M-Z	200	added ('OK')	text/css	etag:%22e688-6562d14a-aa77377647528ea8;gz%22	https://demo-themewinter.com/gloreya/wp-includes/css/dashicons.min.css?ver=6.7.2	C:/Users/mo7a/Desktop/machroo3/templates/restaurantV3/demo-themewinter.com/gloreya/wp-includes/css/dashicons.mind1c0.css	(from https://demo-themewinter.com/gloreya/)
06:17:39	1677/1677	---M-Z	200	added ('OK')	text/css	etag:%2268d-6759257c-87497145e330e0e0;gz%22	https://demo-themewinter.com/gloreya/wp-content/plugins/wp-cafe/assets/css/jquery.timepicker.min.css?ver=2.2.31	C:/Users/mo7a/Desktop/machroo3/templates/restaurantV3/demo-themewinter.com/gloreya/wp-content/plugins/wp-cafe/assets/css/jquery.timepicker.mind4e0.css	(from https://demo-themewinter.com/gloreya/)
06:17:40	1958/1958	---M-Z	200	added ('OK')	text/css	etag:%227a6-6759257c-449cc9d8431b640f;gz%22	https://demo-themewinter.com/gloreya/wp-content/plugins/wp-cafe/assets/css/wpc-icon.css?ver=2.2.31	C:/Users/mo7a/Desktop/machroo3/templates/restaurantV3/demo-themewinter.com/gloreya/wp-content/plugins/wp-cafe/assets/css/wpc-icond4e0.css	(from https://demo-themewinter.com/gloreya/)
06:17:40	143897/143897	---M-Z	200	added ('OK')	text/css	etag:%2223219-6759257c-90cfdd895e5c2992;gz%22	https://demo-themewinter.com/gloreya/wp-content/plugins/wp-cafe/assets/css/wpc-public.css?ver=2.2.31	C:/Users/mo7a/Desktop/machroo3/templates/restaurantV3/demo-themewinter.com/gloreya/wp-content/plugins/wp-cafe/assets/css/wpc-publicd4e0.css	(from https://demo-themewinter.com/gloreya/)
06:17:41	4304/4304	---M-Z	200	added ('OK')	text/css	etag:%2210d0-6774fcf0-c8a13256a53e7628;gz%22	https://demo-themewinter.com/gloreya/wp-content/themes/gloreya/core/parallax/assets/css/style.css?ver=2.0.9	C:/Users/mo7a/Desktop/machroo3/templates/restaurantV3/demo-themewinter.com/gloreya/wp-content/themes/gloreya/core/parallax/assets/css/styleffdc.css	(from https://demo-themewinter.com/gloreya/)
06:17:41	144836/144836	---M-Z	200	added ('OK')	text/css	etag:%22235c4-6774fcf0-e4d284445ac42845;gz%22	https://demo-themewinter.com/gloreya/wp-content/themes/gloreya/assets/css/bootstrap.min.css?ver=2.0.9	C:/Users/mo7a/Desktop/machroo3/templates/restaurantV3/demo-themewinter.com/gloreya/wp-content/themes/gloreya/assets/css/bootstrap.minffdc.css	(from https://demo-themewinter.com/gloreya/)
06:17:41	30548/30548	---M-Z	200	added ('OK')	text/css	etag:%227754-6774fcf0-22adaa770c53c07;gz%22	https://demo-themewinter.com/gloreya/wp-content/themes/gloreya/assets/css/font-awesome.css?ver=2.0.9	C:/Users/mo7a/Desktop/machroo3/templates/restaurantV3/demo-themewinter.com/gloreya/wp-content/themes/gloreya/assets/css/font-awesomeffdc.css	(from https://demo-themewinter.com/gloreya/)
06:17:42	18595/18595	---M-Z	200	added ('OK')	text/css	etag:%2248a3-6774fcf0-90c4e321e8acfe71;gz%22	https://demo-themewinter.com/gloreya/wp-content/themes/gloreya/assets/css/iconfont.css?ver=2.0.9	C:/Users/mo7a/Desktop/machroo3/templates/restaurantV3/demo-themewinter.com/gloreya/wp-content/themes/gloreya/assets/css/iconfontffdc.css	(from https://demo-themewinter.com/gloreya/)
06:17:43	8968/8968	---M-Z	200	added ('OK')	text/css	etag:%222308-6774fcf0-ed47fbdb5a867d80;gz%22	https://demo-themewinter.com/gloreya/wp-content/themes/gloreya/assets/css/magnific-popup.css?ver=2.0.9	C:/Users/mo7a/Desktop/machroo3/templates/restaurantV3/demo-themewinter.com/gloreya/wp-content/themes/gloreya/assets/css/magnific-popupffdc.css	(from https://demo-themewinter.com/gloreya/)
06:17:43	2941/2941	---M-Z	200	added ('OK')	text/css	etag:%22b7d-6774fcf0-8fb8c5d7899397dc;gz%22	https://demo-themewinter.com/gloreya/wp-content/themes/gloreya/assets/css/owl.carousel.min.css?ver=2.0.9	C:/Users/mo7a/Desktop/machroo3/templates/restaurantV3/demo-themewinter.com/gloreya/wp-content/themes/gloreya/assets/css/owl.carousel.minffdc.css	(from https://demo-themewinter.com/gloreya/)
